날짜,일합계
2024-06-06 00:00:00,17957.0
2024-06-07 00:00:00,7883.0
2024-06-08 00:00:00,5500.0
2024-06-09 00:00:00,10902.0
2024-06-10 00:00:00,1822.0
2024-06-11 00:00:00,1460.0
2024-06-12 00:00:00,1551.0
2024-06-13 00:00:00,2467.0
2024-06-14 00:00:00,1467.0
2024-06-15 00:00:00,4691.0
2024-06-16 00:00:00,7131.0
2024-06-17 00:00:00,1349.0
2024-06-18 00:00:00,1176.0
2024-06-19 00:00:00,1170.0
2024-06-20 00:00:00,788.0
2024-06-21 00:00:00,994.0
2024-06-22 00:00:00,949.0
2024-06-23 00:00:00,5708.0
2024-06-24 00:00:00,1231.0
2024-06-25 00:00:00,1400.0
2024-06-26 00:00:00,18678.0
2024-06-27 00:00:00,1273.0
2024-06-28 00:00:00,1121.0
2024-06-29 00:00:00,4595.0
2024-06-30 00:00:00,2892.0
2024-07-01 00:00:00,920.0
2024-07-02 00:00:00,137.0
2024-07-03 00:00:00,850.0
2024-07-04 00:00:00,1374.0
2024-07-05 00:00:00,1084.0
2024-07-06 00:00:00,2862.0
2024-07-07 00:00:00,4853.0
2024-07-08 00:00:00,193.0
2024-07-09 00:00:00,469.0
2024-07-10 00:00:00,813.0
2024-07-11 00:00:00,1024.0
2024-07-12 00:00:00,1044.0
2024-07-13 00:00:00,3651.0
2024-07-14 00:00:00,3112.0
2024-07-15 00:00:00,659.0
2024-07-16 00:00:00,628.0
2024-07-17 00:00:00,813.0
2024-07-18 00:00:00,57.0
2024-07-19 00:00:00,876.0
2024-07-20 00:00:00,1716.0
2024-07-21 00:00:00,2642.0
2024-07-22 00:00:00,555.0
2024-07-23 00:00:00,331.0
2024-07-24 00:00:00,687.0
2024-07-25 00:00:00,677.0
2024-07-26 00:00:00,558.0
2024-07-27 00:00:00,1396.0
2024-07-28 00:00:00,15915.0
2024-07-29 00:00:00,1866.0
2024-07-30 00:00:00,1671.0
2024-07-31 00:00:00,1461.0
2024-08-01 00:00:00,1661.0
2024-08-02 00:00:00,1379.0
2024-08-03 00:00:00,1628.0
2024-08-04 00:00:00,991.0
2024-08-05 00:00:00,503.0
2024-08-06 00:00:00,544.0
2024-08-07 00:00:00,519.0
2024-08-08 00:00:00,642.0
2024-08-09 00:00:00,461.0
2024-08-10 00:00:00,1193.0
2024-08-11 00:00:00,1248.0
2024-08-12 00:00:00,470.0
2024-08-13 00:00:00,1011.0
2024-08-14 00:00:00,397.0
2024-08-15 00:00:00,1472.0
2024-08-16 00:00:00,627.0
2024-08-17 00:00:00,1373.0
2024-08-18 00:00:00,1224.0
2024-08-19 00:00:00,334.0
2024-08-20 00:00:00,327.0
2024-08-21 00:00:00,204.0
2024-08-22 00:00:00,908.0
2024-08-23 00:00:00,911.0
2024-08-24 00:00:00,2059.0
2024-08-25 00:00:00,2551.0
2024-08-26 00:00:00,592.0
2024-08-27 00:00:00,666.0
2024-08-28 00:00:00,743.0
2024-08-29 00:00:00,724.0
2024-08-30 00:00:00,4622.0
2024-08-31 00:00:00,4186.0
2024-09-01 00:00:00,5066.0
2024-09-02 00:00:00,769.0
2024-09-03 00:00:00,885.0
2024-09-04 00:00:00,1001.0
2024-09-05 00:00:00,652.0
2024-09-06 00:00:00,1409.0
2024-09-07 00:00:00,8236.0
2024-09-08 00:00:00,7546.0
2024-09-09 00:00:00,914.0
2024-09-10 00:00:00,1074.0
2024-09-11 00:00:00,533.0
2024-09-12 00:00:00,275.0
2024-09-13 00:00:00,321.0
2024-09-14 00:00:00,4378.0
2024-09-15 00:00:00,7522.0
2024-09-16 00:00:00,9960.0
2024-09-17 00:00:00,6862.0
2024-09-18 00:00:00,4607.0
2024-09-19 00:00:00,1043.0
2024-09-20 00:00:00,384.0
2024-09-21 00:00:00,4524.0
2024-09-22 00:00:00,19603.0
2024-09-23 00:00:00,2125.0
2024-09-24 00:00:00,2174.0
2024-09-25 00:00:00,2886.0
2024-09-26 00:00:00,2347.0
2024-09-27 00:00:00,5406.0
2024-09-28 00:00:00,15431.0
2024-09-29 00:00:00,16520.0
2024-09-30 00:00:00,5780.0
2024-10-01 00:00:00,10895.0
2024-10-02 00:00:00,3947.0
2024-10-03 00:00:00,24320.0
2024-10-04 00:00:00,9883.0
2024-10-05 00:00:00,18063.0
2024-10-06 00:00:00,10449.0
2024-10-07 00:00:00,2184.0
2024-10-08 00:00:00,3884.0
2024-10-09 00:00:00,22807.0
2024-10-10 00:00:00,3663.0
2024-10-11 00:00:00,5599.0
2024-10-12 00:00:00,15856.0
2024-10-13 00:00:00,16705.0
2024-10-14 00:00:00,2997.0
2024-10-15 00:00:00,3136.0
2024-10-16 00:00:00,3875.0
2024-10-17 00:00:00,5495.0
2024-10-18 00:00:00,1799.0
2024-10-19 00:00:00,13041.0
2024-10-20 00:00:00,16097.0
2024-10-21 00:00:00,3126.0
2024-10-22 00:00:00,604.0
2024-10-23 00:00:00,2622.0
2024-10-24 00:00:00,4410.0
2024-10-25 00:00:00,6674.0
2024-10-26 00:00:00,17309.0
2024-10-27 00:00:00,15364.0
2024-10-28 00:00:00,4158.0
2024-10-29 00:00:00,12627.0
2024-10-30 00:00:00,4353.0
2024-10-31 00:00:00,4692.0
2024-11-01 00:00:00,5106.0
2024-11-02 00:00:00,19658.0
2024-11-03 00:00:00,19911.0
2024-11-04 00:00:00,3128.0
2024-11-05 00:00:00,2597.0
2024-11-06 00:00:00,2889.0
2024-11-07 00:00:00,2558.0
2024-11-08 00:00:00,3263.0
2024-11-09 00:00:00,14947.0
2024-11-10 00:00:00,16377.0
2024-11-11 00:00:00,3144.0
2024-11-12 00:00:00,3766.0
2024-11-13 00:00:00,2838.0
2024-11-14 00:00:00,2344.0
2024-11-15 00:00:00,3107.0
2024-11-16 00:00:00,13651.0
2024-11-17 00:00:00,7049.0
2024-11-18 00:00:00,1070.0
2024-11-19 00:00:00,968.0
2024-11-20 00:00:00,987.0
2024-11-21 00:00:00,1110.0
2024-11-22 00:00:00,1389.0
2024-11-23 00:00:00,5554.0
2024-11-24 00:00:00,6907.0
2024-11-25 00:00:00,1380.0
2024-11-26 00:00:00,21825.0
2024-11-27 00:00:00,214.0
2024-11-28 00:00:00,0.0
2024-11-29 00:00:00,1136.0
2024-11-30 00:00:00,0.0
,
*11.28~12.1 폭설로 휴관,
*11.29 입장객 수 패키지권 결재 내역 ,
2024-12-01 00:00:00,0.0
2024-12-02 00:00:00,613.0
2024-12-03 00:00:00,518.0
2024-12-04 00:00:00,450.0
2024-12-05 00:00:00,596.0
2024-12-06 00:00:00,549.0
2024-12-07 00:00:00,1646.0
2024-12-08 00:00:00,1487.0
2024-12-09 00:00:00,840.0
2024-12-10 00:00:00,737.0
2024-12-11 00:00:00,473.0
2024-12-12 00:00:00,406.0
2024-12-13 00:00:00,383.0
2024-12-14 00:00:00,1017.0
2024-12-15 00:00:00,1227.0
2024-12-16 00:00:00,370.0
2024-12-17 00:00:00,386.0
2024-12-18 00:00:00,452.0
2024-12-19 00:00:00,340.0
2024-12-20 00:00:00,293.0
2024-12-21 00:00:00,583.0
2024-12-22 00:00:00,599.0
2024-12-23 00:00:00,360.0
2024-12-24 00:00:00,505.0
2024-12-25 00:00:00,1595.0
2024-12-26 00:00:00,424.0
2024-12-27 00:00:00,709.0
2024-12-28 00:00:00,715.0
2024-12-29 00:00:00,1156.0
2024-12-30 00:00:00,19266.0
2024-12-31 00:00:00,730.0
