날짜,일합계
2023-01-01 00:00:00,1268
2023-01-02 00:00:00,365
2023-01-03 00:00:00,345
2023-01-04 00:00:00,428
2023-01-05 00:00:00,439
2023-01-06 00:00:00,424
2023-01-07 00:00:00,878
2023-01-08 00:00:00,1260
2023-01-09 00:00:00,542
2023-01-10 00:00:00,608
2023-01-11 00:00:00,578
2023-01-12 00:00:00,960
2023-01-13 00:00:00,235
2023-01-14 00:00:00,542
2023-01-15 00:00:00,499
2023-01-16 00:00:00,317
2023-01-17 00:00:00,356
2023-01-18 00:00:00,356
2023-01-19 00:00:00,453
2023-01-20 00:00:00,252
2023-01-21 00:00:00,795
2023-01-22 00:00:00,1146
2023-01-23 00:00:00,2810
2023-01-24 00:00:00,209
2023-01-25 00:00:00,135
2023-01-26 00:00:00,288
2023-01-27 00:00:00,1206
2023-01-28 00:00:00,1930
2023-01-29 00:00:00,1210
2023-01-30 00:00:00,411
2023-01-31 00:00:00,509
2023-02-01 00:00:00,500
2023-02-02 00:00:00,468
2023-02-03 00:00:00,476
2023-02-04 00:00:00,2439
2023-02-05 00:00:00,2909
2023-02-06 00:00:00,779
2023-02-07 00:00:00,725
2023-02-08 00:00:00,749
2023-02-09 00:00:00,906
2023-02-10 00:00:00,570
2023-02-11 00:00:00,4339
2023-02-12 00:00:00,4164
2023-02-13 00:00:00,968
2023-02-14 00:00:00,884
2023-02-15 00:00:00,886
2023-02-16 00:00:00,727
2023-02-17 00:00:00,1121
2023-02-18 00:00:00,2880
2023-02-19 00:00:00,2869
2023-02-20 00:00:00,811
2023-02-21 00:00:00,627
2023-02-22 00:00:00,898
2023-02-23 00:00:00,1425
2023-02-24 00:00:00,1658
2023-02-25 00:00:00,3987
2023-02-26 00:00:00,5228
2023-02-27 00:00:00,3538
2023-02-28 00:00:00,3603
2023-03-01 00:00:00,7457
2023-03-02 00:00:00,768
2023-03-03 00:00:00,792
2023-03-04 00:00:00,7806
2023-03-05 00:00:00,9254
2023-03-06 00:00:00,1039
2023-03-07 00:00:00,1119
2023-03-08 00:00:00,792
2023-03-09 00:00:00,632
2023-03-10 00:00:00,1533
2023-03-11 00:00:00,15428
2023-03-12 00:00:00,539
2023-03-13 00:00:00,551
2023-03-14 00:00:00,1070
2023-03-15 00:00:00,914
2023-03-16 00:00:00,898
2023-03-17 00:00:00,1179
2023-03-18 00:00:00,11932
2023-03-19 00:00:00,12194
2023-03-20 00:00:00,1353
2023-03-21 00:00:00,1544
2023-03-22 00:00:00,1525
2023-03-23 00:00:00,3426
2023-03-24 00:00:00,1677
2023-03-25 00:00:00,13180
2023-03-26 00:00:00,19974
2023-03-27 00:00:00,2008
2023-03-28 00:00:00,1983
2023-03-29 00:00:00,2199
2023-03-30 00:00:00,2758
2023-03-31 00:00:00,4248
2023-04-01 00:00:00,24827
2023-04-02 00:00:00,26129
2023-04-03 00:00:00,7318
2023-04-04 00:00:00,3674
2023-04-05 00:00:00,248
2023-04-06 00:00:00,859
2023-04-07 00:00:00,3409
2023-04-08 00:00:00,13460
2023-04-09 00:00:00,15723
2023-04-10 00:00:00,3076
